"from","to","weight","weight_l","weight_avg","uniStu"
"LO 1","LO 1",202997,12.2209464795896,247.255785627284,821
"LO 1","LO 2",4096,8.31776616671934,4.99512195121951,820
"LO 1","LO 3",632,6.44888939414686,1.81609195402299,348
"LO 1","LO 4",410,6.01615715969835,2.29050279329609,179
"LO 1","LO 6",176,5.17048399503815,1.97752808988764,89
"LO 1","LO 7",39,3.66356164612965,1.3448275862069,29
"LO 1","LO 8",41,3.71357206670431,1.36666666666667,30
"LO 1","LO 9",40,3.68887945411394,1.33333333333333,30
"LO 2","LO 1",3162,8.05896001776942,3.85609756097561,820
"LO 2","LO 2",403354,12.9075698672615,491.295980511571,821
"LO 2","LO 3",4047,8.30573114487587,4.94139194139194,819
"LO 2","LO 4",12381,9.42391831842069,15.6325757575758,792
"LO 2","LO 6",2090,7.64491934495886,3.54237288135593,590
"LO 2","LO 7",337,5.82008293035236,1.51801801801802,222
"LO 2","LO 8",631,6.44730586254121,1.60559796437659,393
"LO 2","LO 9",149,5.00394630594546,1.31858407079646,113
"LO 3","LO 1",593,6.38519439899773,1.83024691358025,324
"LO 3","LO 2",2994,8.00436556497957,4.0679347826087,736
"LO 3","LO 3",324923,12.6913435101642,395.764920828258,821
"LO 3","LO 4",3441,8.14351740579748,4.21691176470588,816
"LO 3","LO 6",272,5.605802066296,1.42408376963351,191
"LO 3","LO 7",90,4.49980967033027,1.36363636363636,66
"LO 3","LO 8",42,3.73766961828337,1.27272727272727,33
"LO 3","LO 9",46,3.8286413964891,1.15,40
"LO 4","LO 1",482,6.1779441140506,2.08658008658009,231
"LO 4","LO 2",12722,9.45108805723875,16.0428751576293,793
"LO 4","LO 3",2299,7.74022952476318,3.27492877492877,702
"LO 4","LO 4",450593,13.0183197720172,548.834348355664,821
"LO 4","LO 6",2749,7.91899248816525,3.58409387222947,767
"LO 4","LO 7",526,6.26530121273771,1.61349693251534,326
"LO 4","LO 8",300,5.7037824746562,1.41509433962264,212
"LO 4","LO 9",208,5.33753807970132,1.35064935064935,154
"LO 6","LO 1",205,5.32300997913841,1.86363636363636,110
"LO 6","LO 2",1883,7.54062152865715,3.37455197132616,558
"LO 6","LO 3",325,5.78382518232974,1.53301886792453,212
"LO 6","LO 4",2134,7.6657534318617,3.36593059936909,634
"LO 6","LO 6",284330,12.5578908144076,347.167277167277,819
"LO 6","LO 7",4831,8.48280876455441,6.21750321750322,777
"LO 6","LO 8",466,6.14418563412565,1.56375838926175,298
"LO 6","LO 9",262,5.5683445037611,1.31,200
"LO 7","LO 1",47,3.85014760171006,1.46875,32
"LO 7","LO 2",333,5.80814248998044,1.48,225
"LO 7","LO 3",79,4.36944785246702,1.16176470588235,68
"LO 7","LO 4",485,6.18414889093748,1.60596026490066,302
"LO 7","LO 6",4227,8.34924780056679,5.636,750
"LO 7","LO 7",89044,11.3968859085702,113,788
"LO 7","LO 8",1760,7.4730690880322,2.87581699346405,612
"LO 7","LO 9",152,5.02388052084628,1.19685039370079,127
"LO 8","LO 1",61,4.11087386417331,1.35555555555556,45
"LO 8","LO 2",643,6.46614472423762,1.68766404199475,381
"LO 8","LO 3",51,3.93182563272433,1.18604651162791,43
"LO 8","LO 4",260,5.56068163101553,1.52046783625731,171
"LO 8","LO 6",393,5.97380961186926,1.55335968379447,253
"LO 8","LO 7",1117,7.0184017990692,2.66587112171838,419
"LO 8","LO 8",93181,11.4422991172299,123.092470277411,757
"LO 8","LO 9",1358,7.21376830811864,2.08602150537634,651
"LO 9","LO 1",91,4.51085950651685,1.33823529411765,68
"LO 9","LO 2",187,5.23110861685459,1.21428571428571,154
"LO 9","LO 3",77,4.34380542185368,1.13235294117647,68
"LO 9","LO 4",232,5.44673737166631,1.32571428571429,175
"LO 9","LO 6",251,5.52545293913178,1.33510638297872,188
"LO 9","LO 7",161,5.08140436498446,1.30894308943089,123
"LO 9","LO 8",745,6.61338421837956,2.06371191135734,361
"LO 9","LO 9",29596,10.2953944960454,37.2745591939547,794
